measure,location,sex,age,cause,metric,year,val,upper,lower
5,30,3,27,509,2,2019,0.016748679519621716,0.01793430001546556,0.015633839062261432
5,43,3,27,1029,2,2019,0.009293928356890194,0.012045864086438719,0.007072980192239385
5,33,3,27,491,2,2019,0.08055572255840915,0.08475139177817592,0.07639468121036776
5,320,3,27,1029,2,2019,0.011365040361427986,0.013768837184970203,0.009222167435594333
5,20,3,27,1029,2,2019,0.007842068439627592,0.009476835103239753,0.006253859384058987
5,204,3,27,509,2,2019,0.017102022645819354,0.018143387706457546,0.016067799191047522
5,54,3,27,491,2,2019,0.07306701893967418,0.0769357479063525,0.06929491262272972
5,164,3,27,589,2,2019,0.07894531464632577,0.08395061558895217,0.07378256037411395
5,86,3,27,976,2,2019,0.05698277474205561,0.06383420450324757,0.050096479569974824
5,53,3,27,1029,2,2019,0.016349919421559986,0.020289565100306498,0.01322653887898968
5,204,3,27,589,2,2019,0.062158498074213045,0.0665264819124146,0.05760494931607999
5,127,3,27,509,2,2019,0.017207816873889174,0.018352324837440114,0.01613078430783419
5,151,3,27,1029,2,2019,0.011430420009182526,0.014175999877363945,0.009061520581532704
5,11,3,27,509,2,2019,0.02459406063439701,0.026693623524845177,0.02270731519864329
5,11,3,27,589,2,2019,0.10787609243895224,0.11584316444748974,0.09999914831501806
5,86,3,27,1029,2,2019,0.02429960366375392,0.028542723455658215,0.020589853188213623
5,214,3,27,1029,2,2019,0.003963312620125523,0.005081102885738685,0.002937152979852471
5,62,3,27,589,2,2019,0.11685000270776788,0.12484414427585898,0.10832991699600611
5,349,3,27,589,2,2019,0.06938617986379342,0.07416784753415631,0.06433786294421637
5,66,3,27,589,2,2019,0.10373214545818121,0.11159420746535442,0.09612603907568301
5,139,3,27,976,2,2019,0.08127226169973246,0.09113191853698106,0.07258547912946035
5,181,3,27,491,2,2019,0.07582254923578105,0.08257162444692398,0.06987710215396273
5,171,3,27,589,2,2019,0.05871811309458702,0.06302665237754562,0.05430111412802733
5,214,3,27,976,2,2019,0.026527670083067167,0.029400894637592503,0.02374458025851285
5,54,3,27,589,2,2019,0.0830976769862411,0.08870761057376109,0.07726357161690056
5,94,3,27,491,2,2019,0.0549663663987684,0.05808926155221142,0.051834414350764475
5,85,3,27,1029,2,2019,0.016878899872119275,0.020869369516964734,0.013569398883740922
5,33,3,27,589,2,2019,0.09946849293593252,0.10706672627380741,0.0915373894633758
5,76,3,27,509,2,2019,0.04321282671663169,0.044645048397139675,0.04179840073094644
5,218,3,27,976,2,2019,0.027303507390828843,0.03019522539499554,0.02459623200883601
5,385,3,27,509,2,2019,0.0229178607175845,0.024206694344598344,0.021657371015743068
5,152,3,27,1029,2,2019,0.0074903250860818196,0.00924393427647464,0.006089849311856022
5,83,3,27,509,2,2019,0.0322443913018893,0.03414874184153858,0.03059286917599783
5,139,3,27,509,2,2019,0.018930760361303554,0.02011190508368882,0.01781012460804717
5,194,3,27,509,2,2019,0.029315255115205545,0.030836102450651506,0.027783611419695296
5,119,3,27,976,2,2019,0.11489159226408148,0.12551937013636708,0.10605945165265081
5,115,3,27,1029,2,2019,0.013200716990059575,0.01663439280233125,0.010204993056574303
5,181,3,27,589,2,2019,0.056110178866127645,0.06050338912596539,0.0518442744316024
5,215,3,27,491,2,2019,0.07939015493534876,0.08682872387154836,0.07341571484478272
5,193,3,27,1029,2,2019,0.007907383450624523,0.0103334519125686,0.005777828543163378
5,94,3,27,589,2,2019,0.06769166751868062,0.0723570137860984,0.0630938973048332
